Code Status For :500,521,522,523,524,525,526,527,528,529,533,544,566,577,588	File Updated :03/07/2023
NPA	NXX	Use	OCN 	Company                                                     
500	223	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	224	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	225	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	226	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	227	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	228	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	229	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	230	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	231	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	232	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	233	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	234	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	235	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	236	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	237	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	238	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	239	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	240	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	241	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	242	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	243	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	244	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	245	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	246	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	247	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	248	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	249	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	250	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	251	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	252	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	253	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	254	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	255	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	256	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	257	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	258	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	259	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	260	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	261	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	262	AS	6664	SPRINT SPECTRUM, L.P.                                       
500	263	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	264	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	265	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	266	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	267	AS	1968	BEGGS TEL. CO., INC.                                        
500	268	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	269	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	270	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	271	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	272	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	273	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	274	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	275	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	276	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	277	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	278	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	279	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	280	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	281	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	282	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	283	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	284	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	285	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	286	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	287	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	288	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	289	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	290	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	291	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	292	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	293	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	294	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	295	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	296	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	297	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	298	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	299	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	300	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	301	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	302	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	303	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	304	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	305	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	306	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	307	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	308	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	309	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	310	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	311	AS	099G	T-MOBILE LICENSE LLC                                        
500	312	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	313	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	314	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	315	AS	9424	PRIMETEL COMMUNICATIONS, INC.                               
500	316	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	317	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	318	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	319	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	320	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	321	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	322	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	323	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	324	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	325	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	326	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	327	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	328	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	329	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	330	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	331	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	332	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	333	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	334	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	335	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	336	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	337	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	338	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	339	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	340	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	341	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	342	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	343	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	344	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	345	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	346	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	347	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	348	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	349	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	350	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	351	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	352	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	353	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	354	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	355	AS	6664	SPRINT SPECTRUM, L.P.                                       
500	356	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	357	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	358	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	359	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	360	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	361	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	362	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	363	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	364	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	365	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	366	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	367	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	368	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	369	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	370	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	371	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	372	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	373	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	374	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	375	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	376	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	377	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	378	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	379	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	380	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	381	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	382	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	383	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	384	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	385	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	386	AS	1212	JEFFERSON TEL. CO.                                          
500	387	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	388	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	389	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	390	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	391	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	392	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	393	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	394	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	395	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	396	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	397	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	398	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	399	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	400	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	401	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	402	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	403	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	404	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	405	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	406	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	407	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	408	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	409	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	410	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	411	AS	099G	T-MOBILE LICENSE LLC                                        
500	412	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	413	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	414	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	415	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	416	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	417	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	418	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	419	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	420	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	421	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	422	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	423	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	424	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	425	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	426	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	427	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	428	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	429	AS	7894	NORTH COUNTY COMMUNICATION CORPORATION - CA                 
500	430	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	431	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	432	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	433	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	434	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	435	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	436	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	437	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	438	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	439	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	440	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	441	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	442	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	443	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	444	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	445	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	446	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	447	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	448	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	449	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	450	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	451	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	452	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	453	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	454	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	455	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	456	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	457	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	458	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	459	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	460	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	461	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	462	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	463	AS	1985	CROSS TEL. CO.                                              
500	464	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	465	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	466	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	467	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	468	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	469	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	470	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	471	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	472	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	473	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	474	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	475	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	476	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	477	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	478	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	479	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	480	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	481	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	482	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	483	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	484	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	485	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	486	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	487	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	488	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	489	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	490	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	491	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	492	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	493	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	494	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	495	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	496	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	497	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	498	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	499	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	500	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	501	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	502	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	503	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	504	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	505	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	506	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	507	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	508	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	509	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	510	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	511	AS	099G	T-MOBILE LICENSE LLC                                        
500	512	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	513	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	514	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	515	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	516	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	517	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	518	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	519	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	520	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	521	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	522	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	523	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	524	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	525	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	526	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	527	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	528	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	529	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	530	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	531	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	532	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	533	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	534	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	535	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	536	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	537	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	538	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	539	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	540	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	541	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	542	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	543	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	544	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	545	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	546	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	547	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	548	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	549	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	550	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	551	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	552	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	553	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	554	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	555	UA	    	                                                            
500	556	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	557	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	558	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	559	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	560	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	561	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	562	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	563	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	564	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	565	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	566	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
